Customers_Country_2f_Region,Customers_Name,Customers_City,Customers_Postal_20_Code,Customers_State_20_Code
AU,AEQ,Macquarie,2113,NSW
AU,OSI Australia,Sydney,2000,NSW
CA,Ajax,Markham,,ON
CA,Decore Design,Winnipeg,,MB
CA,Montreal Railway,AAAAAAA,,ON
CA,Mr. Sparkle,Toronto,,ON
CA,OSI Canada,"Toronto,",,MB
CA,Primertel,"Toronto, Ontario",,ON
CA,SDI Design,Winnipeg,,MB
CA,SNC Toronto,Toronto,,ON
CA,Zevo Toys,Winnipeg,,MB
GB,Monarch Playing Card Co.,Uxbridge,,MX
US,123 Warehousing,Chicago,60602,IL
US,A Dog's Staff,Mason,45040,OH
US,ABC Helicopter,Fort Worth,76177,TX
US,ABC Telecom,Richardson,75080,TX
US,ABISCAS LTD,Canonsburg,15317,PA
US,Acme Corp,Princeton,8540,NJ
US,"Acme, inc.",Novato,94549,CA
US,Addrenaline,Atlanta,30322,GA
US,Allied Biscuit,Detroit,,MI
US,American Trust Bank,Charlotte,28255,NC
US,Analyze This LP,Montvale,7645,NJ
US,ANJIKO,Irving,,TX
US,Ansofini LLC,Bridgewater,8807,NJ
US,AppleBoys,Foster City,94404,CA
US,AppleNets,Remote,,CA
US,Atlantic Northern,Houston,77098,TX
US,Austin Music Club,Plano,75086,TX
US,Avariana LTD,Seattle,98101,WA
US,Axis Chemical Co.,San Jose,95138,CA
US,Bad Brother LLC,Plano,75024,TX
US,Bahlli Consulting,St. Paul,55117,MN
US,"Battan, LLC",Vienna,22182,VA
US,Big T Burgers and Fries,DALLAS,75244,TX
US,BINI Pharmaceutical,Columbia,29203,SC
US,Black Waters Corp,Los Angeles,,CA
US,Blades,Reston,20190,VA
US,Blammo,DALLAS,75234,TX
US,Blue Moons Inn,Phoenix,85016,AZ
US,Botta,Waukegan,60085,IL
US,Bright Chem LLP,Cincinnati,45232,OH
US,Bueno Gallo Inc,Wheaton,60187,IL
US,Bullseye,Minneapolis,55403,MN
US,Bully Sports,Irving,75038,TX
US,Burleigh and Stronginthearm,San Antonio,,TX
US,C.H. Lavatory and Sons,Houston,77010,TX
US,Cadams USA,EI Paso,79998,TX
US,CAKS,Anchorage,99503,AK
US,CAKS Local Services,Fairfax,22031,VA
US,California Chems Co.,Jacksonville,32246,FL
US,Can't Buy Better,Minneapolis,,MN
US,Car Grills LLC,Hopkins,55343,MN
US,Carsy and Lime,Charlotte,28281,NC
US,Castem Co,Philadelphia,19103,PA
US,Cavanet,Phoenix,85034,AZ
US,CCD Bottling Co,Charlotte,28211,NC
US,CCP Lips,Bartlesville,74003,OK
US,Central Perk,Issaquah,98029,WA
US,CFD Doubleton,Houston,77056,TX
US,Charles Townsend Agency,Orlando,32825,FL
US,Chasers,Milwaukee,53208,WI
US,ChemTec,Gastonia,,NC
US,Chevy's in Texas,Walnut Creek,94597,CA
US,Chez Quis,Sunnyvale,94086,CA
US,Chonic Pain Foundation,Los Angeles,90028,CA
US,Chotchkies,OKC,73102,OK
US,Cincy Computers,Cincinnati,,OH
US,Cities of  Virginia,Richmond,23219,VA
US,City of Springfield,Brooklyn,11201,NY
US,City of Springfield,San Diego,92101,CA
US,Clinton's Rub LP,Trevose,19053,PA
US,Cogswell Cogs,Santa Ana,92705,CA
US,Coinstellations,Bellevue,98004,WA
US,COMP DDK,Islandia,11749,NY
US,Company Windows,Lanham,20786,MD
US,Compuglobalhypermeganet,New York,10167,NY
US,Connect the Chain Inc,Indianapolis,46225,IN
US,Corrigan and Partners,DALLAS,75247,TX
US,Cosico Sun,San Jose,95134,CA
US,Costa Costa in Country,Martinez,94553,CA
US,Creek and Company,Waupaca,54981,WI
US,Dan's Food Co.,DALLAS,75202,TX
US,Dark Pets Inc,The Woodlands,,TX
US,Data Systems,Chicago,60601,IL
US,Demo Company,Juno Beach,11111,FL
US,"Demo, inc.",Plymouth,48170,MI
US,Denver Trans,Denver,80222,CO
US,Devon Energy,Oklahoma City,73102,OK
US,DND,Irving,75038,TX
US,DND,Irving,75063,TX
US,DONOTUSE - TrotterTires,Findlay,14205,OH
