Dates_Year,Dates_Period,Dates_Date,Dates_Month,Dates_Quarter
2008,01,01/01/2008 00:00:00,Jan,Q1
2008,02,01/02/2008 00:00:00,Feb,Q1
2008,03,01/03/2008 00:00:00,Mar,Q1
2008,04,01/04/2008 00:00:00,Apr,Q2
2008,05,01/05/2008 00:00:00,May,Q2
2008,06,01/06/2008 00:00:00,Jun,Q2
2008,07,01/07/2008 00:00:00,Jul,Q3
2008,08,01/08/2008 00:00:00,Aug,Q3
2008,09,01/09/2008 00:00:00,Sep,Q3
2008,10,01/10/2008 00:00:00,Oct,Q4
2008,11,01/11/2008 00:00:00,Nov,Q4
2008,12,01/12/2008 00:00:00,Dec,Q4
2009,01,01/01/2009 00:00:00,Jan,Q1
2009,02,01/02/2009 00:00:00,Feb,Q1
2009,03,01/03/2009 00:00:00,Mar,Q1
2009,04,01/04/2009 00:00:00,Apr,Q2
2009,05,01/05/2009 00:00:00,May,Q2
2009,06,01/06/2009 00:00:00,Jun,Q2
2009,07,01/07/2009 00:00:00,Jul,Q3
2009,08,01/08/2009 00:00:00,Aug,Q3
2009,09,01/09/2009 00:00:00,Sep,Q3
2009,10,01/10/2009 00:00:00,Oct,Q4
2009,11,01/11/2009 00:00:00,Nov,Q4
2009,12,01/12/2009 00:00:00,Dec,Q4
2010,01,01/01/2010 00:00:00,Jan,Q1
2010,02,01/02/2010 00:00:00,Feb,Q1
2010,03,01/03/2010 00:00:00,Mar,Q1
2010,04,01/04/2010 00:00:00,Apr,Q2
2010,05,01/05/2010 00:00:00,May,Q2
2010,06,01/06/2010 00:00:00,Jun,Q2
2010,07,01/07/2010 00:00:00,Jul,Q3
2010,08,01/08/2010 00:00:00,Aug,Q3
2010,09,01/09/2010 00:00:00,Sep,Q3
2010,10,01/10/2010 00:00:00,Oct,Q4
2010,11,01/11/2010 00:00:00,Nov,Q4
2010,12,01/12/2010 00:00:00,Dec,Q4
2011,01,01/01/2011 00:00:00,Jan,Q1
2011,02,01/02/2011 00:00:00,Feb,Q1
2011,03,01/03/2011 00:00:00,Mar,Q1
2011,04,01/04/2011 00:00:00,Apr,Q2
2011,05,01/05/2011 00:00:00,May,Q2
2011,06,01/06/2011 00:00:00,Jun,Q2
2011,07,01/07/2011 00:00:00,Jul,Q3
2011,08,01/08/2011 00:00:00,Aug,Q3
2011,09,01/09/2011 00:00:00,Sep,Q3
2011,10,01/10/2011 00:00:00,Oct,Q4
2011,11,01/11/2011 00:00:00,Nov,Q4
2011,12,01/12/2011 00:00:00,Dec,Q4
2012,01,01/01/2012 00:00:00,Jan,Q1
2012,02,01/02/2012 00:00:00,Feb,Q1
2012,03,01/03/2012 00:00:00,Mar,Q1
2012,04,01/04/2012 00:00:00,Apr,Q2
2012,05,01/05/2012 00:00:00,May,Q2
2012,06,01/06/2012 00:00:00,Jun,Q2
2012,07,01/07/2012 00:00:00,Jul,Q3
2012,08,01/08/2012 00:00:00,Aug,Q3
2012,09,01/09/2012 00:00:00,Sep,Q3
2012,10,01/10/2012 00:00:00,Oct,Q4
2012,11,01/11/2012 00:00:00,Nov,Q4
2012,12,01/12/2012 00:00:00,Dec,Q4
2013,01,01/01/2013 00:00:00,Jan,Q1
2013,02,01/02/2013 00:00:00,Feb,Q1
2013,03,01/03/2013 00:00:00,Mar,Q1
2013,04,01/04/2013 00:00:00,Apr,Q2
2013,05,01/05/2013 00:00:00,May,Q2
2013,06,01/06/2013 00:00:00,Jun,Q2
2013,07,01/07/2013 00:00:00,Jul,Q3
2013,08,01/08/2013 00:00:00,Aug,Q3
2013,09,01/09/2013 00:00:00,Sep,Q3
2013,10,01/10/2013 00:00:00,Oct,Q4
2013,11,01/11/2013 00:00:00,Nov,Q4
2013,12,01/12/2013 00:00:00,Dec,Q4
2014,01,01/01/2014 00:00:00,Jan,Q1
2014,02,01/02/2014 00:00:00,Feb,Q1
2014,03,01/03/2014 00:00:00,Mar,Q1
2014,04,01/04/2014 00:00:00,Apr,Q2
2014,05,01/05/2014 00:00:00,May,Q2
2014,06,01/06/2014 00:00:00,Jun,Q2
2014,07,01/07/2014 00:00:00,Jul,Q3
2014,08,01/08/2014 00:00:00,Aug,Q3
2014,09,01/09/2014 00:00:00,Sep,Q3
2014,10,01/10/2014 00:00:00,Oct,Q4
2014,11,01/11/2014 00:00:00,Nov,Q4
2014,12,01/12/2014 00:00:00,Dec,Q4

